Wall time,Step,Value
1600090409.361786,99,0.800000011920929
1600090410.257605,599,0.7142857313156128
1600090411.1668031,1099,0.5
1600090412.0552902,1599,0.6000000238418579
1600090412.9494839,2099,0.6153846383094788
1600090413.839542,2599,0.75
1600090414.7336268,3099,0.6000000238418579
1600090415.6457233,3599,0.5714285969734192
1600090416.5836947,4099,0.699999988079071
1600090417.5176287,4599,0.6000000238418579
1600090418.4315658,5099,0.8888888955116272
1600090419.3391767,5599,0.800000011920929
1600090420.2694473,6099,0.625
1600090421.1755998,6599,1.0
1600090422.1004436,7099,0.6666666865348816
1600090423.0070498,7599,0.875
1600090423.914722,8099,0.375
1600090424.8035328,8599,0.5833333134651184
1600090425.6972785,9099,0.8999999761581421
1600090426.6254373,9599,1.0
1600090427.5184693,10099,0.8999999761581421
1600090428.4108546,10599,0.6666666865348816
1600090429.3058217,11099,0.7777777910232544
1600090430.1962748,11599,0.75
1600090431.0805287,12099,0.699999988079071
1600090431.9899735,12599,0.6363636255264282
1600090432.8756654,13099,0.7777777910232544
1600090433.7654123,13599,0.5714285969734192
1600090434.6783807,14099,0.800000011920929
1600090435.567836,14599,1.0
1600090436.458527,15099,0.8333333134651184
1600090437.3456125,15599,0.6666666865348816
1600090438.2477849,16099,0.5
1600090439.1490538,16599,0.875
1600090440.0412784,17099,0.6666666865348816
1600090440.954537,17599,0.6666666865348816
1600090441.854599,18099,0.8461538553237915
1600090442.7568762,18599,0.7777777910232544
1600090443.6548655,19099,0.75
1600090444.5635688,19599,0.800000011920929
1600090445.4584842,20099,1.0
1600090446.353452,20599,0.8571428656578064
1600090447.2656503,21099,0.699999988079071
1600090448.1616426,21599,0.8888888955116272
1600090449.0469217,22099,0.9166666865348816
1600090449.9424357,22599,1.0
1600090450.8384645,23099,0.8999999761581421
1600090451.7362385,23599,1.0
1600090452.6256096,24099,0.6666666865348816
1600090453.523238,24599,1.0
1600090454.4205928,25099,0.7777777910232544
1600090455.3144815,25599,0.8571428656578064
1600090456.2016578,26099,0.8571428656578064
1600090457.1043112,26599,1.0
1600090457.9991908,27099,1.0
1600090458.8916497,27599,1.0
1600090459.7837641,28099,0.692307710647583
1600090460.6805449,28599,0.8333333134651184
1600090461.5697894,29099,0.8999999761581421
1600090462.4786556,29599,1.0
1600090463.36776,30099,1.0
1600090464.2682748,30599,1.0
1600090465.1603425,31099,0.875
1600090466.0583813,31599,1.0
1600090466.9516973,32099,0.7777777910232544
1600090467.8374796,32599,0.8571428656578064
1600090468.7524574,33099,0.8333333134651184
1600090469.6523952,33599,0.875
1600090470.55042,34099,0.800000011920929
1600090471.4605875,34599,0.9166666865348816
1600090472.3792384,35099,0.9090909361839294
1600090473.269384,35599,1.0
1600090474.163663,36099,1.0
1600090475.0515423,36599,0.875
1600090475.9535968,37099,1.0
1600090476.909591,37599,0.8999999761581421
1600090477.8343906,38099,1.0
1600090478.7661695,38599,1.0
1600090479.6978545,39099,1.0
1600090480.617545,39599,1.0
1600090481.523315,40099,0.9090909361839294
1600090482.436576,40599,1.0
1600090483.3421075,41099,1.0
1600090484.256494,41599,1.0
1600090485.160329,42099,1.0
1600090486.0677762,42599,1.0
1600090486.97396,43099,1.0
1600090487.885341,43599,0.8888888955116272
1600090488.7935495,44099,1.0
1600090489.7052255,44599,1.0
1600090490.6083958,45099,1.0
1600090491.5059228,45599,1.0
1600090492.4487946,46099,1.0
1600090493.351458,46599,0.9090909361839294
1600090494.2826045,47099,1.0
1600090495.2029905,47599,1.0
1600090496.1400545,48099,1.0
1600090497.039896,48599,1.0
1600090497.9454794,49099,1.0
1600090498.860452,49599,1.0
1600090499.7734125,50099,1.0
1600090500.6967473,50599,1.0
1600090501.596357,51099,1.0
1600090502.5225146,51599,1.0
1600090503.4346576,52099,1.0
1600090504.343828,52599,1.0
1600090505.2553198,53099,1.0
1600090506.1835,53599,1.0
1600090507.095533,54099,1.0
1600090508.0107062,54599,1.0
1600090508.9085593,55099,1.0
1600090509.8128245,55599,1.0
1600090510.7194598,56099,1.0
1600090511.6332595,56599,1.0
1600090512.5393467,57099,1.0
1600090513.4425347,57599,1.0
1600090514.3586664,58099,1.0
1600090515.260295,58599,1.0
1600090516.1637285,59099,1.0
1600090517.0766046,59599,1.0
1600090517.9993916,60099,1.0
1600090518.900386,60599,1.0
1600090519.813796,61099,1.0
1600090520.7273123,61599,1.0
1600090521.6243937,62099,1.0
1600090522.5303688,62599,1.0
1600090523.4566157,63099,1.0
1600090524.3633842,63599,1.0
1600090525.260928,64099,1.0
1600090526.173474,64599,1.0
1600090527.0853355,65099,1.0
1600090527.9915419,65599,1.0
1600090528.8925438,66099,1.0
1600090529.804559,66599,1.0
1600090530.7364516,67099,1.0
1600090531.6695657,67599,1.0
1600090532.5786598,68099,1.0
1600090533.4905128,68599,1.0
1600090534.3985474,69099,1.0
1600090535.3041584,69599,1.0
1600090536.2147632,70099,1.0
1600090537.1108649,70599,1.0
1600090538.0333338,71099,1.0
1600090538.9384615,71599,1.0
1600090539.8376858,72099,1.0
1600090540.7435074,72599,1.0
1600090541.6612802,73099,1.0
1600090542.5692904,73599,1.0
1600090543.4744046,74099,1.0
1600090544.3834212,74599,1.0
1600090545.2868557,75099,1.0
1600090546.1903214,75599,1.0
1600090547.0992875,76099,1.0
1600090548.011392,76599,1.0
1600090548.919656,77099,1.0
1600090549.8704548,77599,1.0
1600090550.8345873,78099,1.0
1600090551.7983637,78599,1.0
1600090552.7619534,79099,1.0
1600090553.7285836,79599,1.0
1600090554.693097,80099,1.0
1600090555.6594906,80599,1.0
1600090556.6290612,81099,1.0
1600090557.5883396,81599,1.0
1600090558.552408,82099,1.0
1600090559.5103703,82599,1.0
1600090560.4836042,83099,1.0
1600090561.4581263,83599,1.0
1600090562.4179251,84099,1.0
1600090563.3839424,84599,1.0
1600090564.3543105,85099,1.0
1600090565.3136349,85599,1.0
1600090566.2733922,86099,1.0
1600090567.2344396,86599,1.0
1600090568.203962,87099,1.0
1600090569.1138647,87599,1.0
1600090570.0196643,88099,1.0
1600090570.9104242,88599,1.0
1600090571.813803,89099,1.0
1600090572.7215137,89599,1.0
1600090573.6225972,90099,1.0
1600090574.5254662,90599,1.0
1600090575.425459,91099,1.0
1600090576.3285618,91599,1.0
1600090577.2328827,92099,1.0
1600090578.1393435,92599,1.0
1600090579.0528884,93099,1.0
1600090579.9591174,93599,1.0
1600090580.8808005,94099,1.0
1600090581.8179467,94599,1.0
1600090582.7611377,95099,1.0
1600090583.6920626,95599,1.0
1600090584.6470528,96099,1.0
1600090585.5609214,96599,1.0
1600090586.4814727,97099,1.0
1600090587.553377,97599,1.0
1600090588.5295568,98099,1.0
1600090589.4787822,98599,1.0
1600090590.4134262,99099,1.0
1600090591.363583,99599,1.0
1600090592.2907693,100099,1.0
1600090593.2274096,100599,1.0
1600090594.1912334,101099,1.0
1600090595.1276662,101599,1.0
1600090596.0895429,102099,1.0
1600090596.9991188,102599,1.0
1600090597.958496,103099,1.0
1600090598.90979,103599,1.0
1600090599.8549955,104099,1.0
1600090600.828489,104599,1.0
1600090601.7347767,105099,1.0
1600090602.6717358,105599,1.0
1600090603.5868351,106099,1.0
1600090604.5312183,106599,1.0
1600090605.4285645,107099,1.0
1600090606.370436,107599,1.0
1600090607.3253853,108099,1.0
1600090608.2529504,108599,1.0
1600090609.224355,109099,1.0
1600090610.1384268,109599,1.0
1600090611.0649693,110099,1.0
1600090611.9879558,110599,1.0
1600090612.9513946,111099,1.0
1600090613.8747842,111599,1.0
1600090614.8110316,112099,1.0
1600090615.7217653,112599,1.0
1600090616.6565652,113099,1.0
1600090617.5848482,113599,1.0
1600090618.5293708,114099,1.0
1600090619.4384644,114599,1.0
1600090620.382919,115099,1.0
1600090621.323686,115599,1.0
1600090622.2829955,116099,1.0
1600090623.2361326,116599,1.0
1600090624.1930392,117099,1.0
1600090625.1147485,117599,1.0
1600090626.0572784,118099,1.0
1600090627.002787,118599,1.0
1600090627.9612913,119099,1.0
1600090628.896437,119599,1.0
1600090629.8247564,120099,1.0
1600090630.7715201,120599,1.0
1600090631.7070596,121099,1.0
1600090632.6566918,121599,1.0
1600090633.6080697,122099,1.0
1600090634.5622976,122599,1.0
1600090635.4920406,123099,1.0
1600090636.4426458,123599,1.0
1600090637.36795,124099,1.0
1600090638.3240464,124599,1.0
1600090639.2619212,125099,1.0
1600090640.2083666,125599,1.0
1600090641.1278276,126099,1.0
1600090642.0775807,126599,1.0
1600090642.986066,127099,1.0
1600090643.924072,127599,1.0
1600090644.8793523,128099,1.0
1600090645.8545678,128599,1.0
1600090646.817368,129099,1.0
1600090647.7495468,129599,1.0
1600090648.69036,130099,1.0
1600090649.6294465,130599,1.0
1600090650.5704324,131099,1.0
1600090651.5087004,131599,1.0
1600090652.515615,132099,1.0
1600090653.428579,132599,1.0
1600090654.3354986,133099,1.0
1600090655.2628012,133599,1.0
1600090656.1834693,134099,1.0
1600090657.122493,134599,1.0
1600090658.051098,135099,1.0
1600090658.9742408,135599,1.0
1600090659.8915546,136099,1.0
1600090660.8219857,136599,1.0
1600090661.7284212,137099,1.0
1600090662.6687324,137599,1.0
1600090663.5964825,138099,1.0
1600090664.5284703,138599,1.0
1600090665.4214902,139099,1.0
1600090666.38333,139599,1.0
1600090667.2883801,140099,1.0
1600090668.241469,140599,1.0
1600090669.1658268,141099,1.0
1600090670.0706093,141599,1.0
1600090670.9637468,142099,1.0
1600090671.877593,142599,1.0
1600090672.7825527,143099,1.0
1600090673.7307417,143599,1.0
1600090674.6492999,144099,1.0
1600090675.5744185,144599,1.0
1600090676.4987571,145099,1.0
1600090677.4027898,145599,1.0
1600090678.3033826,146099,1.0
1600090679.2069821,146599,1.0
1600090680.1207235,147099,1.0
1600090681.0127141,147599,1.0
1600090681.908646,148099,1.0
1600090682.8107543,148599,1.0
1600090683.716435,149099,1.0
1600090684.6346538,149599,1.0
1600090685.5514271,150099,1.0
1600090686.5112758,150599,1.0
1600090687.4147797,151099,1.0
1600090688.3347535,151599,1.0
1600090689.290279,152099,1.0
1600090690.2071936,152599,1.0
1600090691.1075957,153099,1.0
1600090692.0126598,153599,1.0
1600090692.9512682,154099,1.0
1600090693.87446,154599,1.0
1600090694.8135076,155099,1.0
1600090695.7398348,155599,1.0
1600090696.6544654,156099,1.0
1600090697.5761747,156599,1.0
1600090698.4882739,157099,1.0
1600090699.4018035,157599,1.0
1600090700.303108,158099,1.0
1600090701.1965504,158599,1.0
1600090702.1329162,159099,1.0
1600090703.0296519,159599,1.0
1600090703.9405804,160099,1.0
1600090704.8395512,160599,1.0
1600090705.7575254,161099,1.0
1600090706.6701636,161599,1.0
1600090707.5533834,162099,1.0
1600090708.4742172,162599,1.0
1600090709.4011254,163099,1.0
1600090710.3244026,163599,1.0
1600090711.2567935,164099,1.0
1600090712.1834245,164599,1.0
1600090713.077643,165099,1.0
1600090713.9999318,165599,1.0
1600090714.9494755,166099,1.0
1600090715.855104,166599,1.0
1600090716.7969768,167099,1.0
1600090717.7348878,167599,1.0
1600090718.6627305,168099,1.0
1600090719.5713587,168599,1.0
1600090720.496326,169099,1.0
1600090721.4016323,169599,1.0
1600090722.3115158,170099,1.0
1600090723.2222886,170599,1.0
1600090724.1094086,171099,1.0
1600090725.0366087,171599,1.0
1600090725.9321635,172099,1.0
1600090726.819343,172599,1.0
1600090727.7102592,173099,1.0
1600090728.6003647,173599,1.0
1600090729.5253031,174099,1.0
1600090730.4127038,174599,1.0
1600090731.3065348,175099,1.0
1600090732.1963167,175599,1.0
1600090733.089587,176099,1.0
1600090733.9741738,176599,1.0
1600090734.865465,177099,1.0
1600090735.7552936,177599,1.0
1600090736.651649,178099,1.0
1600090737.5523336,178599,1.0
1600090738.4564486,179099,1.0
1600090739.345283,179599,1.0
1600090740.2563825,180099,1.0
1600090741.163011,180599,1.0
1600090742.052383,181099,1.0
1600090742.9242282,181599,1.0
1600090743.8070486,182099,1.0
1600090744.7183418,182599,1.0
1600090745.6063564,183099,1.0
1600090746.5276153,183599,1.0
1600090747.417919,184099,1.0
1600090748.3021672,184599,1.0
1600090749.1812854,185099,1.0
1600090750.0722287,185599,1.0
1600090750.942396,186099,1.0
1600090751.8212762,186599,1.0
1600090752.707093,187099,1.0
1600090753.5853865,187599,1.0
1600090754.4694514,188099,1.0
1600090755.351464,188599,1.0
1600090756.2360349,189099,1.0
1600090757.1105704,189599,1.0
1600090757.998304,190099,1.0
1600090758.8713553,190599,1.0
1600090759.7608056,191099,1.0
1600090760.6403148,191599,1.0
1600090761.513113,192099,1.0
1600090762.3963625,192599,1.0
1600090763.2734826,193099,1.0
1600090764.1589813,193599,1.0
1600090765.0411875,194099,1.0
1600090765.9323163,194599,1.0
1600090766.806901,195099,1.0
1600090767.6962614,195599,1.0
1600090768.667054,196099,1.0
1600090769.5413282,196599,1.0
1600090770.4203491,197099,1.0
1600090771.3237505,197599,1.0
1600090772.2309735,198099,1.0
1600090773.1218278,198599,1.0
1600090774.0410163,199099,1.0
1600090774.9672215,199599,1.0
